Year,Month,Month Code,District Code,District,TANF Cases with Earned Income,TANF Average Gross Earned Income,TANF Average Net Earned Income,SNA MOE Cases with Earned Income,SNA MOE Average Gross Earned Income,SNA MOE Average Net Earned Income,SNA Non-MOE Cases with Earned Income,SNA Non-MOE Average Gross Earned Income,SNA Non-MOE Average Net Earned Income
2020,February,2,45,Seneca,2,766,318,2,1043,448,2,995,905
2020,February,2,46,Steuben,14,797,333,4,338,115,13,471,233
2020,February,2,40,St. Lawrence,19,583,234,22,929,395,15,533,262
2020,February,2,47,Suffolk,192,1294,618,154,1455,676,101,1501,927
2020,February,2,48,Sullivan,11,891,378,4,1248,544,8,733,311
2020,February,2,49,Tioga,1,628,253,0,0,0,0,0,0
2020,February,2,50,Tompkins,10,1020,447,5,1103,544,13,761,608
2020,February,2,51,Ulster,12,1028,452,12,852,358,18,920,593
2020,February,2,52,Warren,4,1199,521,1,1233,537,4,183,84
2020,February,2,53,Washington,5,694,283,1,308,103,2,146,76
2020,February,2,54,Wayne,8,962,410,1,389,300,3,617,498
2020,February,2,55,Westchester,205,1121,505,93,1140,509,30,1091,638
2020,February,2,56,Wyoming,1,844,354,2,1296,567,3,198,108
2020,February,2,57,Yates,2,379,136,0,0,0,0,0,0
2020,January,1,1,Albany,49,999,436,29,1017,434,21,1569,891
2020,January,1,2,Allegany,7,611,242,4,436,171,2,1030,493
2020,January,1,3,Broome,35,800,332,33,947,403,23,638,289
2020,January,1,4,Cattaraugus,18,673,274,2,722,297,3,703,472
2020,January,1,5,Cayuga,10,870,367,9,922,391,4,733,468
2020,January,1,6,Chautauqua,37,821,343,35,835,350,17,696,329
2020,January,1,7,Chemung,6,914,387,1,997,907,0,0,0
2020,January,1,8,Chenango,3,317,107,2,719,296,3,425,364
2020,January,1,9,Clinton,8,1311,574,4,506,250,5,849,580
2020,January,1,10,Columbia,7,925,397,4,1148,597,5,931,708
2020,January,1,11,Cortland,9,942,427,7,1106,479,6,536,275
2020,January,1,12,Delaware,2,1149,498,1,940,400,4,198,80
2020,January,1,13,Dutchess,26,1265,574,11,1233,610,10,1559,1015
2020,January,1,14,Erie,267,998,425,283,1122,487,207,1346,605
2020,January,1,15,Essex,2,749,310,0,0,0,0,0,0
2020,January,1,16,Franklin,11,639,260,3,679,277,9,399,182
2020,January,1,17,Fulton,3,325,122,1,829,739,0,0,0
2020,January,1,18,Genesee,3,832,335,1,716,294,0,0,0
2020,January,1,19,Greene,7,659,267,3,372,142,6,814,448
2020,January,1,20,Hamilton,0,0,0,0,0,0,0,0,0
2020,January,1,21,Herkimer,3,529,207,3,929,407,2,254,164
2020,January,1,22,Jefferson,22,790,329,15,669,294,14,343,176
2020,January,1,23,Lewis,0,0,0,0,0,0,0,0,0
2020,January,1,24,Livingston,10,923,391,5,817,342,5,554,271
2020,January,1,25,Madison,4,804,335,1,998,427,0,0,0
2020,January,1,26,Monroe,222,885,371,295,1054,453,95,717,355
2020,January,1,27,Montgomery,10,945,402,14,802,337,5,789,382
2020,January,1,28,Nassau,173,1210,576,112,1358,642,111,1338,908
2020,January,1,66,New York City,6937,1402,715,6040,1272,580,7093,1747,1209
2020,January,1,29,Niagara,33,798,334,37,956,408,12,605,278
2020,January,1,30,Oneida,69,932,383,93,1160,505,46,1067,474
2020,January,1,31,Onondaga,218,966,430,159,1074,465,86,1134,547
2020,January,1,32,Ontario,11,823,345,2,1186,515,5,1288,698
2020,January,1,33,Orange,83,989,427,56,1103,479,21,1105,525
2020,January,1,34,Orleans,16,1031,442,7,1069,460,4,1166,514
2020,January,1,35,Oswego,32,732,302,17,1127,487,24,524,244
2020,January,1,36,Otsego,2,467,177,0,0,0,3,1105,1015
2020,January,1,37,Putnam,1,1346,590,1,907,817,0,0,0
2020,January,1,38,Rensselaer,43,909,385,54,1024,468,10,1359,588
2020,January,1,39,Rockland,62,967,417,14,1025,413,23,1289,689
2020,January,1,41,Saratoga,4,515,200,0,0,0,1,643,553
2020,January,1,42,Schenectady,27,936,398,35,968,413,11,975,446
2020,January,1,43,Schoharie,0,0,0,0,0,0,2,124,54
2020,January,1,44,Schuyler,0,0,0,0,0,0,2,949,404
2020,January,1,45,Seneca,4,908,388,2,1043,448,2,1052,962
2020,January,1,46,Steuben,17,800,335,6,352,145,14,493,266
2020,January,1,40,St. Lawrence,22,600,242,21,868,366,16,605,287
2020,January,1,47,Suffolk,196,1288,620,165,1433,660,107,1582,987
2020,January,1,48,Sullivan,15,940,401,2,1680,747,6,760,393
2020,January,1,49,Tioga,0,0,0,0,0,0,0,0,0
2020,January,1,50,Tompkins,9,819,343,3,686,280,15,678,512
2020,January,1,51,Ulster,13,908,392,11,957,408,18,993,598
2020,January,1,52,Warren,2,811,339,1,1233,537,3,189,100
2020,January,1,53,Washington,6,623,249,0,0,0,2,112,79
2020,January,1,54,Wayne,10,918,389,0,0,0,3,520,460
2020,January,1,55,Westchester,199,1148,522,96,1193,541,33,1171,702
2020,January,1,56,Wyoming,1,844,354,3,1422,626,4,164,81
2020,January,1,57,Yates,2,379,136,0,0,0,2,753,532
2019,December,12,1,Albany,55,980,431,28,966,410,29,1455,870
2019,December,12,2,Allegany,7,594,234,2,843,354,2,484,240
2019,December,12,3,Broome,31,814,338,39,882,372,27,613,287
2019,December,12,4,Cattaraugus,16,711,292,2,722,297,6,947,726
2019,December,12,5,Cayuga,13,799,333,8,899,380,4,555,385
2019,December,12,6,Chautauqua,42,824,345,36,968,413,18,783,390
